Store ID,Store Name,Address,City,County,Zip Code,Store Location,Store_Segment,CLV,Frequency
5725,Express Lane Gas & Food Mart #79,17948 GREAT RIVER RD,Pleasant Valley,Scott,52767.0,POINT (-90.42779 41.56774),At-Risk Accounts,27590.57,31.68067226890756
4306,Northside One Stop / Hampton,1208  4TH ST NE,Hampton,Franklin,50441.0,POINT (-93.20245 42.75304),,,
3695,Mrs. B'S Liquor,623 S MARION ST,Remsen,Plymouth,51050.0,POINT (-95.97703 42.80888),Champions,98109.85999999999,96.76056338028168
10099,Mills Grocery And Liquor / West Des Moines,6630 MILLS CIVIC PKWY,West Des Moines,Polk,50266.0,POINT (-93.79872 41.56183),At-Risk Accounts,33629.31,26.528925619834713
6225,Day Break / Wheatland,102 US HIGHWAY 30,Wheatland,Clinton,52777.0,POINT (-90.84146 41.82904),At-Risk Accounts,43705.12,48.87640449438202
4131,Fareway Stores #933 / Urbandale,8450 MEREDITH DR,Urbandale,Polk,50322.0,POINT (-93.73435 41.64385),Loyal Giants,213823.52000000002,120.0
5999,Casey'S General Store #2771 / Cedar Rapids,501 6TH STREET SW,Cedar Rapids,Linn,52404.0,POINT (-91.6771 41.97041),Rising Stars,33672.06,34.48504983388705
9039,Foundry Distilling Company,111 SOUTH 11TH ST. STE 100,West Des Moines,Polk,50265.0,POINT (-93.71804 41.56855),,,
4379,Kum & Go #2091 / Ashworth / Wdm,5969 ASHWORTH RD,West Des Moines,Polk,50266.0,POINT (-93.78997 41.58437),Champions,47375.03999999999,112.2
5667,Stanwood Food Mart Llc,1118 HWY 30,Stanwood,Cedar,52337.0,POINT (-91.16087 41.88847),,,
5147,Victor'S Market,1001 3RD STREET,Victor,Poweshiek,52347.0,POINT (-92.30126 41.73066),At-Risk Accounts,18378.48,29.747899159663863
5369,"Bormanns Neighborhood Pitstop, Llc",802 S RIVERVIEW ST,Bellevue,Jackson,52031.0,POINT (-90.4206 42.25282),At-Risk Accounts,14325.64,29.0625
5670,Jonesy'S Stop N Shop,104 N 1ST ST,Rockwell,Cerro Gordo,50469.0,POINT (-93.19198 42.98552),At-Risk Accounts,35352.829999999994,28.97142857142857
6262,"Fareway Stores, Inc. #222 / Rockwell City",339 EAST HIGH STREET,Rockwell City,Calhoun,50579.0,POINT (-94.62577 42.39885),Loyal Giants,102484.5,98.99159663865547
5660,North Side Liquor & Tobacco / Dubuque,2013 CENTRAL AVE,Dubuque,Dubuque,52001.0,POINT (-90.67013 42.5116),Champions,294017.54,417.39495798319325
6197,Mount Pleasant Food & Liquor / Mt Pleasant,309 W. WASHINGTON ST.,Mt Pleasant,Henry,52641.0,POINT (-91.55711 40.96585),Loyal Giants,133062.38999999998,95.88235294117646
10003,Top Shelf Liquor / Iowa City,412 HIGHWAY 1,Iowa City,Johnson,52246.0,POINT (-77.31187 35.96278),Loyal Giants,94014.22,219.11602209944752
3679,Franklin Street Floral & Gift,103 FRANKLIN ST,Monona,Clayton,52159.0,POINT (-91.39077 43.05512),Loyal Giants,104455.20000000001,143.08988764044943
3645,Wal-Mart 1764 / Windsor Heights,1001  73RD ST,Windsor Heights,Polk,50311.0,POINT (-93.71857 41.59669),Champions,302931.53,238.4033613445378
2517,Hy-Vee Food Store #1 (1449) / Newton,1501 FIRST AVENUE EAST,Newton,Jasper,50208.0,POINT (-93.03504 41.6992),Loyal Giants,589444.92,356.06145251396646
4195,Fareway Stores #792 / Toledo,1005 S COUNTY LINE RD,Toledo,Tama,52342.0,,Loyal Giants,95024.35,89.83193277310924
5643,Conoco / Le Grand,806 W MAIN ST,Le Grand,Marshall,50142.0,POINT (-92.78466 42.00667),Loyal Giants,53323.91999999999,172.62857142857143
